Stadt_ID,Country,Region_Code,Einwohner_2025_Mio
Shanghai,China,ASIA,29.868
Karachi,Pakistan,ASIA,23.128
Peking,China,ASIA,22.596
Neu-Delhi,Indien,ASIA,19.866
Shenzhen,China,ASIA,17.652
Tokio,Japan,ASIA,14.070
Lima,Peru,SA,12.972
Mumbai,Indien,ASIA,12.691
Bengaluru,Indien,ASIA,12.352
São Paulo,Brasilien,SA,12.330
Ho-Chi-Minh,Vietnam,ASIA,12.236
Jakarta,Indonesien,ASIA,11.634
Chengdu,China,ASIA,11.206
Bangkok,Thailand,ASIA,10.982
Kuala Lumpur,Malaysia,ASIA,10.467
Qingdao,China,ASIA,10.370
Kairo,Ägypten,AFR,9.845
London,UK,EUR,9.841
Seoul,Südkorea,ASIA,9.648
Nanjing,China,ASIA,9.648
Mexico City,Mexiko,NA,9.250
Dhaka,Bangladesch,ASIA,8.906
New York City,USA,NA,8.419
Ahmedabad,Indien,ASIA,8.159
Bogotá,Kolumbien,SA,7.917
Hongkong,China,ASIA,7.528
Chennai,Indien,ASIA,6.796
Santiago,Chile,SA,6.791
Rio de Janeiro,Brasilien,SA,6.718
Kalkutta,Indien,ASIA,6.577
Johannesburg,Südafrika,AFR,6.445
Singapur,Singapur,ASIA,6.100
Hanoi,Vietnam,ASIA,5.602
Sydney,Australien,OCEA,5.498
Nairobi,Kenia,AFR,5.454
Melbourne,Australien,OCEA,5.392
Addis Abeba,Äthiopien,AFR,5.228
Amman,Jordanien,ASIA,4.918
Kapstadt,Südafrika,AFR,4.876
Los Angeles,USA,NA,4.100
Casablanca,Marokko,AFR,3.896
Tshwane,Südafrika,AFR,3.816
Yokohama,Japan,ASIA,3.771
Durban,Südafrika,AFR,3.674
Berlin,Deutschland,EUR,3.639
Caracas,Venezuela,SA,3.318
Lusaka,Sambia,AFR,3.181
Buenos Aires,Argentinien,SA,3.120
Toronto,Kanada,NA,3.090
Dubai,VAE,ASIA,3.011
Quezon City,Philippinen,ASIA,2.956
Rom,Italien,EUR,2.880
Chicago,USA,NA,2.715
Fortaleza,Brasilien,SA,2.686
Medellín,Kolumbien,SA,2.618
Accra,Ghana,AFR,2.607
Paris,Frankreich,EUR,2.147
Curitiba,Brasilien,SA,1.979
Quito,Ecuador,SA,1.868
Montréal,Kanada,NA,1.860
Hamburg,Deutschland,EUR,1.815
Phoenix,USA,NA,1.708
Barcelona,Spanien,EUR,1.636
Philadelphia,USA,NA,1.567
Auckland,Neuseeland,OCEA,1.547
München,Deutschland,EUR,1.520
Maskat,Oman,ASIA,1.488
San Diego,USA,NA,1.411
Guadalajara,Mexiko,NA,1.378
Mailand,Italien,EUR,1.350
Freetown,Sierra Leone,AFR,1.306
Köln,Deutschland,EUR,1.087
Austin,USA,NA,1.026
Stockholm,Schweden,EUR,0.993
Amsterdam,Niederlande,EUR,0.932
San Francisco,USA,NA,0.864
Frankfurt,Deutschland,EUR,0.756
Seattle,USA,NA,0.749
Denver,USA,NA,0.716
Vancouver,Kanada,NA,0.711
Washington DC,USA,NA,0.705
Oslo,Norwegen,EUR,0.677
Kopenhagen,Dänemark,EUR,0.672
Boston,USA,NA,0.672
Portland,USA,NA,0.671
Stuttgart,Deutschland,EUR,0.635
Atlanta,USA,NA,0.514
Miami,USA,NA,0.470
New Orleans,USA,NA,0.375
Kiel,Deutschland,EUR,0.250
Heidelberg,Deutschland,EUR,0.160
