------------ Gemini ------------

City_ID,Action_Name,Action_ID,Start Date (Date),Costs (Number),Scope (String),Measure (Label),Short Description (Text)
Shanghai,Metro LCOI Start,A01,2006,N/A,City-wide,Expansion of Public Local Transport,"The Shanghai Metro, the world's most extensive network (831 km), was the first Chinese state-owned enterprise (SOE) to introduce low-carbon operational initiatives (LCOIs) in 2006 to reduce emissions."
Shanghai,Bldg. Energy Monitoring,A02,2007,N/A,City-wide,Energy-efficient Building Refurbishment,"Establishment of China's first online platform for monitoring building energy performance (Changning District), which served as the foundation for measuring and verifying all subsequent retrofit programs."
Shanghai,ECL Land Mgmt,A03,Ongoing,N/A,City-wide,Sustainable Land Management (Avoidance of Urban Sprawl),"Strict enforcement of Ecological Control Lines (ECLs) to limit urban sprawl and ensure intensive, compact spatial development."
Shanghai,Pedestrian Path Upgr.,A04,Pre-2024,N/A,Medium (Corridor),Expansion of Pedestrian Paths,"Revitalization and redesign of important urban arteries, such as the Nanjing Road East Extension, prioritizing people-focused mobility."
Shanghai,Bike Sharing Infra.,A05,Pre-2024,N/A,Medium (Rollout),Expansion of Bicycle Paths,"Promotion of bike-sharing services (e.g., Meituan Bike Sharing) and expansion of necessary supporting cycling infrastructure to encourage sustainable mobility."
Shanghai,Bldg. Retrofit Rollout,A06,Pre-2024,N/A,Medium (District),Energy-efficient Building Refurbishment,"Rollout of comprehensive retrofitting programs in the public and commercial sectors (e.g., in Changning District), leading to energy consumption reductions of 20% to 30% per building."
Shanghai,IDPS 2.0 Pilot,A07,Pre-2024,N/A,Pilot,Intelligent Traffic Control,Implementation of the AI-powered traffic management system IDPS 2.0. A pilot signal optimization project led to a 14.4% increase in average vehicle speed and reduced stops.
Shanghai,Sponge Park/Green Infra.,A08,Pre-2024,N/A,Medium/Pilot,Green Infrastructure (Carbon Sinks),"Expansion of green spaces (e.g., urban forests, ecological corridors) and transformation of parks into 'Sponge Parks' to sequester carbon and enhance climate adaptation."
Shanghai,100% Charging Prep.,A09,2020,N/A,City-wide,Alternative Drive Systems and Sharing Offers,Introduction of the mandatory requirement that 100% of parking spaces in newly built residential complexes must be pre-wired for charging pile installation to ensure e-mobility scalability.
Shanghai,Smart Charging Standard,A10,2021,N/A,City-wide,Alternative Drive Systems and Sharing Offers,Enactment of the *Technical Requirements for Intelligent Charging Piles* (DB31/T 1296-2021) to standardize intelligent charging capability and prepare for grid integration (V2G).
Shanghai,EV Demand Response,A11,2022,N/A,Pilot,Alternative Drive Systems and Sharing Offers,"Successful execution of Demand Response events using EV aggregators for peak load reduction (2.11 million kWh load response), demonstrating the intelligent grid integration function."
Shanghai,kWh Subsidy Program,A12,2023,N/A,City-wide,Alternative Drive Systems and Sharing Offers,"Introduction of a kilowatt-hour subsidy program for charging and swapping facilities, shifting financial support from construction-based to usage-based incentives."

------------ Claude ------------

City_ID,Action_Name,Action_ID,Start Date (Date), End Date (Date),Costs (Number),Scope (String),Measure (Label),Short Description (Text)
Shanghai,Metro System Expansion Program,A01,1995/01,Ongoing,N/A,City-wide,Expansion of Public Local Transport,Shanghai Metro started operations in 1995 and expanded from a single line to become the world's longest metro network by 2010 with over 420 km. By 2020 the system had 18 lines spanning over 800 km making it the largest metro network globally by line length. The rapid expansion aimed to reduce private vehicle dependency and promote public transit ridership which grew from two percent in 1995 to 45 percent by 2015.
Shanghai,Shanghai Street Design Guide Implementation,A02,2016,N/A,City-wide,Expansion of Pedestrian Paths,The Shanghai Street Design Guide published in 2016 marked a fundamental shift in urban design values away from cars toward people. The guide emphasized walking and prioritized pedestrian space by reducing vehicle areas. It aimed to create pleasant convenient environments with safe comfortable and beautiful pedestrian systems connected to hospitals schools and metro stations. This represented Shanghai's commitment to pedestrian-first planning principles.
Shanghai,Dedicated Cycling Infrastructure Development,A03,Pre-2010,N/A,City-wide,Expansion of Bicycle Paths,Shanghai developed separated bicycle paths and sidewalk systems designed to reduce traffic congestion and improve safety. The city constructed cycling paths connected to key destinations including public transit stations hospitals and schools. Dedicated bicycle parking facilities were established throughout the city to support non-motorized transport and complement the public transportation network.
