City_ID,Action_Name,Action_ID,Start Date (Date),End Date (Date),Costs (Number),Scope (String),Measure (Label),Short Description (Text)
Shanghai,Metro Line 1 Opening,A0001,1995/04,Ongoing,N/A,City-wide,Expansion of Public Local Transport,First metro line in Shanghai connecting northern and southern districts with initial section opening for revenue service. The line was later extended multiple times to improve connectivity across the city.
Shanghai,Metro Line 2 Opening,A0002,2000/06,Ongoing,N/A,City-wide,Expansion of Public Local Transport,Second metro line opening with initial phase connecting key areas of the city. The line eventually linked both Hongqiao and Pudong International Airports by 2010.
Shanghai,Metro Line 3 Opening,A0003,2001/12,Ongoing,N/A,City-wide,Expansion of Public Local Transport,Pearl Line opening as an elevated metro route covering major districts and becoming part of the expanding metro network to reduce private vehicle dependence.
Shanghai,Metro Line 4 Opening,A0004,2006/01,Ongoing,N/A,City-wide,Expansion of Public Local Transport,New metro line joining the network with partial route overlapping with Line 3. The line became a circular route in 2007 enhancing connectivity throughout the city.
Shanghai,Metro Line 5 Opening,A0005,2003/11,Ongoing,N/A,Medium (District/Corridor),Expansion of Public Local Transport,Metro line opening to serve suburban areas with progressive extensions improving access to outer districts and supporting urban decentralization goals.
Shanghai,Electric and Hybrid Bus Pilot,A0006,2006/01,2015/12,N/A,Pilot,Alternative Drive Systems and Sharing Offers,Shanghai became the leading Chinese city implementing electric and hybrid buses with pilot programs to test low-emission public transport technologies.
Shanghai,Expo 2010 Metro Expansion,A0007,2010/04,2010/12,N/A,City-wide,Expansion of Public Local Transport,Major metro system expansion for World Expo 2010 bringing total network to 11 lines and 407 km making Shanghai metro the world's longest at that time.
Shanghai,Shanghai-Nanjing Intercity Rail,A0008,2010/07,Ongoing,N/A,City-wide,Expansion of Public Long-Distance Transport,High-speed intercity railway line opening simultaneously with Hongqiao Railway Station providing rapid connections to neighboring cities in the Yangtze River Delta.
Shanghai,Hongqiao Railway Station Opening,A0009,2010/07,Ongoing,N/A,City-wide,Expansion of Public Long-Distance Transport,Major high-speed railway hub opening as part of integrated transportation complex connecting Beijing-Shanghai high-speed rail and other intercity lines with metro and airport access.
Shanghai,Shanghai Street Design Guide,A0010,2016/01,Ongoing,N/A,City-wide,Expansion of Pedestrian Paths,Seminal urban design guide published emphasizing walking and cycling while reducing vehicle space marking a shift toward pedestrian-first urban planning principles.
Shanghai,Dedicated Bicycle Paths Network,A0011,2016/01,Ongoing,N/A,City-wide,Expansion of Bicycle Paths,Systematic development of dedicated cycling paths separated from motor traffic connecting key destinations including hospitals schools and metro stations to promote safe cycling.
Shanghai,Mobike Launch,A0012,2016/04,Ongoing,N/A,City-wide,Alternative Drive Systems and Sharing Offers,World's first free-floating bike-sharing scheme launching in Shanghai with GPS-equipped bikes providing flexible last-mile transportation solutions aligned with green transport goals.
Shanghai,Bike Sharing Expansion,A0013,2017/01,2017/12,N/A,City-wide,Alternative Drive Systems and Sharing Offers,Massive expansion of dockless bike-sharing services with multiple operators deploying bikes across the city though later regulated due to oversupply issues.
Shanghai,Bus Fleet Electrification Program,A0014,2018/01,2020/12,N/A,City-wide,Alternative Drive Systems and Sharing Offers,Progressive replacement of diesel buses with electric buses targeting completion ahead of original schedule to reduce emissions and noise pollution in public transportation.
Shanghai,Metro Network to 545km,A0015,2015/12,Ongoing,N/A,City-wide,Expansion of Public Local Transport,Metro network expansion reaching 545 km in length demonstrating continuous investment in urban rail transit to serve growing population and reduce road congestion.
Shanghai,Smart Traffic Signal System Phase 1,A0016,2015/01,2018/12,N/A,Medium (District/Corridor),Intelligent Traffic Control,Deployment of intelligent traffic signal management system at key intersections using real-time data to optimize traffic flow and reduce congestion during peak hours.
Shanghai,Electronic Police Camera Network,A0017,2015/01,Ongoing,N/A,City-wide,Intelligent Traffic Control,Expansion of multi-functional electronic surveillance system for off-site traffic law enforcement improving road safety and reducing violations through automated monitoring.
Shanghai,Pedestrian Jaywalking Detection System,A0018,2018/01,Ongoing,N/A,Pilot,Intelligent Traffic Control,First-in-country pedestrian warning system at major intersections automatically detecting jaywalking attempts and issuing warnings to improve pedestrian safety.
Shanghai,Green Wave Traffic Coordination,A0019,2018/01,Ongoing,N/A,Medium (District/Corridor),Intelligent Traffic Control,AI-powered traffic light synchronization system using real-time data to create coordinated green waves reducing stop-and-go traffic and improving flow efficiency.
Shanghai,Changning District Building Retrofit,A0020,2015/01,2017/12,N/A,Medium (District/Corridor),Energy-efficient Building Refurbishment,Low-carbon building retrofit pilot in Changning District with 44 sub-projects achieving significant energy savings through efficiency improvements in public and commercial buildings.
Shanghai,Public Building Energy Retrofit Program,A0021,2013/01,2020/12,N/A,City-wide,Energy-efficient Building Refurbishment,Government subsidy program supporting energy efficiency retrofits in public buildings achieving over 20 percent energy consumption reduction per square meter through various technologies.
Shanghai,Residential Building Insulation Program,A0022,2013/01,2020/12,N/A,City-wide,Energy-efficient Building Refurbishment,Large-scale program retrofitting existing residential buildings with improved insulation and energy-efficient systems as part of national green building action plan.
Shanghai,Green Building Certification Expansion,A0023,2015/01,2020/12,N/A,City-wide,Energy-efficient Building Refurbishment,Expansion of green building evaluation standard certification requiring new buildings to meet energy efficiency codes and promoting three-star rated sustainable construction.
Shanghai,Shanghai Tower Green Features,A0024,2015/01,Ongoing,N/A,Pilot,Energy-efficient Building Refurbishment,Iconic sustainable building demonstrating 43 green technologies achieving 21 percent energy reduction and LEED Gold plus three-star China Green Building certification.
Shanghai,Urban Forest Carbon Sequestration,A0025,2010/01,Ongoing,N/A,City-wide,Green Infrastructure (Carbon Sinks),Development and maintenance of urban forests providing carbon storage with estimated forest biomass carbon and soil organic carbon contributing to citywide climate mitigation.
Shanghai,Park System Expansion,A0026,2015/01,2020/12,N/A,City-wide,Green Infrastructure (Carbon Sinks),Strategic expansion of urban parks and green spaces increasing total green space area to enhance carbon sequestration capacity and improve urban ecological functions.
Shanghai,Thousand Parks Plan Launch,A0027,2022/01,Ongoing,N/A,City-wide,Green Infrastructure (Carbon Sinks),Ambitious plan to increase city parks to over 1000 by 2025 while building key ecological corridors and expanding forest coverage to 19.5 percent for enhanced carbon sinks.
Shanghai,Green Space Coverage Target,A0028,2015/01,Ongoing,N/A,City-wide,Green Infrastructure (Carbon Sinks),Systematic increase in urban green space coverage with green spaces accounting for significant portion of city area providing ecosystem services including carbon storage.
Shanghai,Ecological Corridor Development,A0029,2020/01,Ongoing,N/A,City-wide,Green Infrastructure (Carbon Sinks),Construction of eight key ecological corridors including Huangpu River areas and forest zones surrounding new suburban cities to enhance green connectivity and carbon sequestration.
Shanghai,Master Plan 2035 Green Transport,A0030,2017/01,Ongoing,N/A,City-wide,Sustainable Land Management (Avoidance of Urban Sprawl),Comprehensive urban master plan targeting more than 85 percent green transportation modal share promoting compact development and sustainable land use patterns.
Shanghai,Transit-Oriented Development,A0031,2010/01,Ongoing,N/A,City-wide,Sustainable Land Management (Avoidance of Urban Sprawl),Integration of metro station development with high-density mixed-use planning ensuring locations in central areas within 600 meters of subway stations reducing sprawl.
Shanghai,Hongqiao Integrated Hub,A0032,2010/07,Ongoing,N/A,City-wide,Sustainable Land Management (Avoidance of Urban Sprawl),Development of comprehensive transportation hub integrating airport railway station metro and bus terminals in concentrated area promoting efficient land use and multimodal connectivity.
Shanghai,New Cities Suburban Strategy,A0033,2015/01,Ongoing,N/A,City-wide,Sustainable Land Management (Avoidance of Urban Sprawl),Strategic development of five new suburban cities with self-contained infrastructure and green space preventing uncontrolled sprawl while accommodating population growth through planned urbanization.
Karachi,Green Line BRT Launch,A0034,2021/12,Ongoing,N/A,City-wide,Expansion of Public Local Transport,The Green Line Bus Rapid Transit system became operational with 80 hybrid buses serving a 22-kilometer route from Surjani to Numaish with 22 stations. The system features dedicated bus lanes elevated tracks and modern ticketing facilities providing mass transit for approximately 135000 daily passengers.
Karachi,BRT Pedestrian Infrastructure,A0035,2016/02,Ongoing,N/A,Medium (District/Corridor),Expansion of Pedestrian Paths,Pedestrian-friendly walkways and overhead bridges were constructed along the Green Line BRT corridor. The infrastructure includes improved pedestrian facilities and crossing points to ensure safe access to bus stations throughout the corridor.
Karachi,Red Line BRT Development,A0036,2021/12,Ongoing,N/A,Medium (District/Corridor),Expansion of Public Local Transport,Construction began on the 26-kilometer Red Line BRT corridor from Malir Halt to Numaish Chowrangi via University Road with 24 planned stations. The system will feature biomethane-hybrid buses powered by biogas from cattle waste representing the world's first such implementation with projected service for 300000 daily passengers.
Karachi,Red Line Cycling Infrastructure,A0037,2021/12,Ongoing,N/A,Medium (District/Corridor),Expansion of Bicycle Paths,Dedicated cycling tracks were planned along the Red Line BRT corridor as part of the integrated multimodal transport system. The bike lanes provide last-mile connectivity complementing the BRT service.
Karachi,BRT E-Pedicab Service,A0038,2021/12,Ongoing,N/A,Medium (District/Corridor),Alternative Drive Systems and Sharing Offers,Electric pedicabs were introduced as part of the Red Line BRT project to provide last-mile connectivity between BRT stations and final destinations. The e-pedicabs offer zero-emission short-distance transport integrated with the main transit system.
Karachi,Orange Line BRT Operation,A0039,2022/09,Ongoing,N/A,Pilot,Expansion of Public Local Transport,The Orange Line also known as Edhi Line became operational with a 3.9-kilometer route serving Orangi area with four stations. The line provides local public transport connectivity entirely funded by the Sindh provincial government.
Karachi,Yellow Line BRT Planning,A0040,2023/12,Ongoing,N/A,Medium (District/Corridor),Expansion of Public Local Transport,The 22-kilometer Yellow Line BRT project connecting Numaish Chowrangi to Korangi and Landhi was planned with an estimated cost of 428 million dollars. The World Bank committed 382 million dollars in financing with plans for 268 buses and infrastructure improvements including footpaths and pedestrian crossings.
Karachi,Yellow Corridor Road Rehabilitation,A0041,2023/12,Ongoing,N/A,Medium (District/Corridor),Expansion of Pedestrian Paths,The Yellow Corridor project included rehabilitation of road infrastructure with improvements to non-motorized transport facilities including motorcycle lanes footpaths and pedestrian crossings. The work covered the yellow corridor and its feeder routes.
Beijing,Bicycle Highway Opening,A0042,2019/01,Ongoing,N/A,Pilot,Expansion of Bicycle Paths,A 6.5-kilometer elevated cycling-only road known as a bicycle highway was opened by the Beijing Municipal Commission of Transport. The partially elevated infrastructure provides dedicated safe cycling routes separated from vehicular traffic.
Beijing,Cycling Action Plan Launch,A0043,2020/01,Ongoing,N/A,City-wide,Expansion of Bicycle Paths,Beijing launched the Active Transport System Planning and Cycling Action Plan to create a cycling-focused city by 2035. The plan proposes building a continuous safe accessible and comfortable network of cycling facilities suitable for all ages.
Beijing,13th FYP Bike Lane Expansion,A0044,2016/01,2020/12,N/A,City-wide,Expansion of Bicycle Paths,Under the 13th Five-Year Plan Beijing aimed to build 3.2 kilometers of bike lanes within the Third Ring Road by 2020. The initiative promoted cycling as green transportation and defended the existing bicycle modal share.
Beijing,Bike-Sharing System Growth,A0045,2016/01,Ongoing,N/A,City-wide,Alternative Drive Systems and Sharing Offers,Station-less bike-sharing systems including ofo and Mobike launched operations placing millions of shared bicycles on city streets. More than 120 Chinese cities including Beijing provided public bicycle services promoting urban green transport revival.
Beijing,Metro Line 5 Opening,A0046,2007/10,Ongoing,N/A,City-wide,Expansion of Public Local Transport,Line 5 opened as Beijing's first north-south metro line spanning 27.6 kilometers serving important city center areas. The line marked the beginning of rapid metro expansion that transformed Beijing's public transportation network.
