City_ID,Country,Region_Code,Climate_Zone,Date,Population_2025_Mio,Median_Age_Years,GDP_Billion_USD,GDP_per_Capita_USD
Shanghai,China,ASIA,Subtropical Zone,1995/04,11.1,26,45.8,4126.1
Shanghai,China,ASIA,Subtropical Zone,2000/06,14.2,29,88.1,6204.2
Shanghai,China,ASIA,Subtropical Zone,2001/12,14.8,29,103.9,7020.3
Shanghai,China,ASIA,Subtropical Zone,2003/11,15.9,30,131.9,8308.2
Shanghai,China,ASIA,Subtropical Zone,2006/01,17.7,32,174.9,9881.4
Shanghai,China,ASIA,Subtropical Zone,2010/01,20.3,34,286.0,14088.7
Shanghai,China,ASIA,Subtropical Zone,2010/04,20.3,34,286.0,14088.7
Shanghai,China,ASIA,Subtropical Zone,2010/07,20.3,34,286.0,14088.7
Shanghai,China,ASIA,Subtropical Zone,2013/01,22.2,35,361.6,16279.3
Shanghai,China,ASIA,Subtropical Zone,2015/01,23.5,36,448.7,19093.6
Shanghai,China,ASIA,Subtropical Zone,2015/12,23.5,36,448.7,19093.6
Shanghai,China,ASIA,Subtropical Zone,2016/01,24.2,36,482.0,19917.4
Shanghai,China,ASIA,Subtropical Zone,2016/04,24.2,36,482.0,19917.4
Shanghai,China,ASIA,Subtropical Zone,2017/01,24.9,37,515.2,20690.0
Shanghai,China,ASIA,Subtropical Zone,2018/01,25.6,38,574.6,22445.3
Shanghai,China,ASIA,Subtropical Zone,2020/01,27.1,38,629.8,23249.4
Shanghai,China,ASIA,Subtropical Zone,2022/01,28.5,39,692.7,24296.2
Karachi,Pakistan,ASIA,Tropical Zone,2016/02,15.2,22,67.6,4447.4
Karachi,Pakistan,ASIA,Tropical Zone,2021/12,17.4,23,90.6,5206.9
Karachi,Pakistan,ASIA,Tropical Zone,2022/09,17.7,23,93.4,5276.8
Karachi,Pakistan,ASIA,Tropical Zone,2023/12,18.1,24,96.5,5331.5
Beijing,China,ASIA,Temperate Zone,2001/01,13.8,30,19.2,1391
Beijing,China,ASIA,Temperate Zone,2007/01,16.4,32,126.9,7738
Beijing,China,ASIA,Temperate Zone,2007/10,16.8,32,150.3,8946
Beijing,China,ASIA,Temperate Zone,2008/01,16.9,32,154.6,9148
Beijing,China,ASIA,Temperate Zone,2010/01,19.6,33,230.8,11776
Beijing,China,ASIA,Temperate Zone,2010/12,20.0,33,260.6,13030
Beijing,China,ASIA,Temperate Zone,2011/01,20.2,34,264.4,13089
Beijing,China,ASIA,Temperate Zone,2011/12,20.5,34,302.5,14756
